告警ID,告警级别,告警名称,告警对象,对象类型,产生时间,清除时间,清除类型
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 14:55:00 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 14:55:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 06:17:00 UTC+08:00,-,-
15.1000102,次要,虚拟机内存占用率超过阈值,VW07-132-98-0-111,虚拟机,2018-06-22 04:46:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-52,虚拟机,2018-06-20 17:32:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-67,虚拟机,2018-06-20 16:16:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-70,虚拟机,2018-06-20 10:33:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-85,虚拟机,2018-06-19 23:25:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-84,虚拟机,2018-06-19 22:21:00 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-200-38,虚拟机,2018-06-19 18:03:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VL-123-200-110,虚拟机,2018-06-19 16:36:00 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR_10.123.200.37_1,虚拟机,2018-06-19 13:34:00 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-197-42,虚拟机,2018-06-19 12:21:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-68,虚拟机,2018-06-16 19:24:00 UTC+08:00,-,-
15.1006008,提示,主机管理接口未配置网络冗余,desktop_cna06,主机,2018-06-15 15:05:00 UTC+08:00,-,-
15.1006008,提示,主机管理接口未配置网络冗余,MCNA01,主机,2018-06-15 15:05:00 UTC+08:00,-,-
15.1006008,提示,主机管理接口未配置网络冗余,desktop_cna05,主机,2018-06-15 15:05:00 UTC+08:00,-,-
15.1006008,提示,主机管理接口未配置网络冗余,desktop_cna04,主机,2018-06-15 15:05:00 UTC+08:00,-,-
15.1006008,提示,主机管理接口未配置网络冗余,desktop_cna03,主机,2018-06-15 15:05:00 UTC+08:00,-,-
15.1006008,提示,主机管理接口未配置网络冗余,desktop_cna02,主机,2018-06-15 15:05:00 UTC+08:00,-,-
15.1006008,提示,主机管理接口未配置网络冗余,desktop_cna01,主机,2018-06-15 15:05:00 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN1_MCNA,数据存储,2018-06-15 14:55:16 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-200-39,虚拟机,2018-06-15 14:00:00 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-200-41,虚拟机,2018-06-15 00:42:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,协同器Service02,虚拟机,2018-06-15 00:01:00 UTC+08:00,-,-
15.1000020,重要,内存预留率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-13 16:24:00 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN6_CNA,数据存储,2018-06-13 15:34:33 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN1_CNA,数据存储,2018-06-13 11:55:05 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-51,虚拟机,2018-06-13 10:24:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-122,虚拟机,2018-06-12 21:28:00 UTC+08:00,-,-
15.1000020,重要,内存预留率超过阈值,D-3-6-1-6_192.168.130.170,主机,2018-06-12 03:30:00 UTC+08:00,-,-
15.1000020,重要,内存预留率超过阈值,D-3-6-1-8_192.168.130.172,主机,2018-06-12 03:30:00 UTC+08:00,-,-
15.1000020,重要,内存预留率超过阈值,D-3-12-1-8_192.168.130.173,主机,2018-06-12 03:30:00 UTC+08:00,-,-
