告警ID,告警级别,告警名称,告警对象,对象类型,产生时间,清除时间,清除类型
15.1005003,重要,存储使用容量超过阈值,autoDS02,数据存储,2018-06-12 03:20:28 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN2_CNA,数据存储,2018-06-12 03:20:26 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN3_MCNA,数据存储,2018-06-12 03:20:24 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN7_CNA,数据存储,2018-06-12 03:20:22 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值, LUN9_CNA,数据存储,2018-06-12 03:20:20 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,System,数据存储,2018-06-12 03:20:19 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,Data,数据存储,2018-06-12 03:20:18 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,autoDS01,数据存储,2018-06-12 03:15:15 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-197-40,虚拟机,2018-06-11 18:19:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-11 14:57:00 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-197-39,虚拟机,2018-06-10 04:58:00 UTC+08:00,-,-
15.1006001,重要,网口自协商速率没有达到服务器网口的最大速率,MCNA01,主机,2018-06-08 22:01:01 UTC+08:00,-,-
15.1000102,次要,虚拟机内存占用率超过阈值,VW07-132-98-0-116,虚拟机,2018-06-08 21:39:00 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-200-40,虚拟机,2018-06-08 18:11:00 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN2_MCNA,数据存储,2018-06-08 12:04:30 UTC+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-197-41,虚拟机,2018-06-06 15:43:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-128,虚拟机,2018-06-05 11:35:00 UTC+08:00,-,-
15.1004014,重要,Libvirt管理端口认证未开启,site,站点,2018-06-05 09:29:04 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-154,虚拟机,2018-06-02 04:29:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-106,虚拟机,2018-06-02 04:10:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-135,虚拟机,2018-06-02 03:53:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-83,虚拟机,2018-06-02 03:12:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-150,虚拟机,2018-06-02 02:59:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-161,虚拟机,2018-06-02 02:14:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-90,虚拟机,2018-06-02 02:09:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-118,虚拟机,2018-06-02 01:43:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-136,虚拟机,2018-06-02 01:36:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-163,虚拟机,2018-06-02 01:27:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,fa\gdgwjh8@fa\gdgwjh,虚拟机,2018-06-02 01:22:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-153,虚拟机,2018-06-01 17:57:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-88,虚拟机,2018-06-01 16:20:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-53,虚拟机,2018-06-01 16:19:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-127,虚拟机,2018-06-01 14:30:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-98,虚拟机,2018-06-01 14:27:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-120,虚拟机,2018-06-01 13:19:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-129,虚拟机,2018-06-01 13:15:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-124,虚拟机,2018-06-01 13:03:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-165,虚拟机,2018-06-01 12:56:00 UTC+08:00,-,-
15.1000102,次要,虚拟机内存占用率超过阈值,华迪报表开发测试用机1,虚拟机,2018-05-31 05:03:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW08-10-123-197-131,虚拟机,2018-05-31 04:39:00 UTC+08:00,-,-
15.1000020,重要,内存预留率超过阈值,D-3-6-1-5_192.168.130.133,主机,2018-05-30 17:22:00 UTC+08:00,-,-
15.1008002,重要,软件订阅与保障年费已经到期,site-license,站点,2018-05-30 00:27:37 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VLR-123-197-33,虚拟机,2018-05-29 16:00:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VLR-10-123-197-37,虚拟机,2018-05-27 18:46:00 UTC+08:00,-,-
15.1000102,次要,虚拟机内存占用率超过阈值,fa\ZX-SDH-27@fa\sgsjk,虚拟机,2018-05-26 23:04:00 UTC+08:00,-,-
15.1000102,次要,虚拟机内存占用率超过阈值,VW07-132-98-0-140,虚拟机,2018-05-20 04:12:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW08-10-123-197-163,虚拟机,2018-05-19 05:40:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW08-10-123-197-163,虚拟机,2018-05-18 17:37:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,fa\ZX-SDH-30@fa\gd-chuanshu,虚拟机,2018-05-17 09:26:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-95,虚拟机,2018-05-17 07:24:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,fa\ZX-IPRAN-37@fa\sgsjk,虚拟机,2018-05-11 01:39:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-80,虚拟机,2018-05-10 13:57:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,zddb1-sc,虚拟机,2018-05-08 00:40:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,综调数据库服务器-VLR-10-123-200-165,虚拟机,2018-05-08 00:39:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,Centos 6.5_64bit_caiji,虚拟机,2018-05-08 00:39:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,mocha,虚拟机,2018-05-08 00:37:00 UTC+08:00,-,-
15.1000020,重要,内存预留率超过阈值,D-3-7-1-3_192.168.130.166,主机,2018-05-08 00:36:00 UTC+08:00,-,-
15.1005003,重要,存储使用容量超过阈值,LUN5_CNA,数据存储,2018-05-08 00:28:52 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-168,虚拟机,2018-05-02 09:55:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-94,虚拟机,2018-05-01 18:48:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-111,虚拟机,2018-04-29 11:22:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-104,虚拟机,2018-04-28 10:49:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,win2008_zhongxing,虚拟机,2018-04-28 10:03:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,资源应用服务器,虚拟机,2018-04-26 18:39:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-109,虚拟机,2018-03-30 04:25:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-101,虚拟机,2018-03-20 16:29:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-99,虚拟机,2018-03-19 10:12:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-117,虚拟机,2018-03-05 16:58:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,华迪报表开发测试用机,虚拟机,2018-03-04 04:58:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-113,虚拟机,2018-02-24 04:03:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-133,虚拟机,2018-01-17 17:15:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VLR-10-123-197-168,虚拟机,2018-01-16 18:45:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,winsrv_08_ITA02,虚拟机,2018-01-09 16:41:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-112,虚拟机,2017-11-25 16:01:00 UTC+08:00,-,-
15.1000102,次要,虚拟机内存占用率超过阈值,VW07-132-98-0-164,虚拟机,2017-11-23 19:06:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-137,虚拟机,2017-11-17 20:35:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VLR-10-123-200-41,虚拟机,2017-11-14 09:50:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VLR-10-123-200-39,虚拟机,2017-11-13 16:21:00 UTC+08:00,-,-
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-159,虚拟机,2017-10-28 06:02:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-166,虚拟机,2017-10-17 12:16:00 UTC+08:00,-,-
15.1000103,次要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-89,虚拟机,2017-10-16 12:50:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-148,虚拟机,2017-08-29 10:40:00 UTC+08:00,-,-
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW08-10-123-197-130,虚拟机,2017-06-24 12:37:00 UTC+08:00,-,-
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 14:45:00 UTC+08:00,2018-06-22 14:47:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 14:27:00 UTC+08:00,2018-06-22 14:33:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 14:19:00 UTC+08:00,2018-06-22 14:21:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 14:00:00 UTC+08:00,2018-06-22 14:10:00 UTC+08:00,正常清除
15.1000102,次要,虚拟机内存占用率超过阈值,VW07-132-98-0-59,虚拟机,2018-06-22 13:31:00 UTC+08:00,2018-06-22 14:16:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 12:54:00 UTC+08:00,2018-06-22 13:01:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 12:35:00 UTC+08:00,2018-06-22 14:49:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 12:33:00 UTC+08:00,2018-06-22 12:43:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 12:28:00 UTC+08:00,2018-06-22 12:32:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 12:24:00 UTC+08:00,2018-06-22 12:27:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 12:22:00 UTC+08:00,2018-06-22 12:25:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 12:18:00 UTC+08:00,2018-06-22 12:19:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 12:11:00 UTC+08:00,2018-06-22 12:15:00 UTC+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,VLR-10-123-197-15,虚拟机,2018-06-22 12:03:00 UTC+08:00,2018-06-22 14:55:00 UTC+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 12:02:00 UTC+08:00,2018-06-22 12:11:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 11:22:00 UTC+08:00,2018-06-22 11:23:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VLR-10-123-197-15,虚拟机,2018-06-22 11:09:00 UTC+08:00,2018-06-22 12:00:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 11:08:00 UTC+08:00,2018-06-22 11:16:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 10:46:00 UTC+08:00,2018-06-22 11:54:00 UTC+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 10:42:00 UTC+08:00,2018-06-22 10:49:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 10:37:00 UTC+08:00,2018-06-22 10:38:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 10:30:00 UTC+08:00,2018-06-22 10:37:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 10:29:00 UTC+08:00,2018-06-22 10:34:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 10:24:00 UTC+08:00,2018-06-22 10:25:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 10:07:00 UTC+08:00,2018-06-22 10:10:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 09:55:00 UTC+08:00,2018-06-22 10:03:00 UTC+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 09:48:00 UTC+08:00,2018-06-22 09:52:00 UTC+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,VW07-132-98-0-86,虚拟机,2018-06-22 09:48:00 UTC+08:00,2018-06-22 09:49:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 09:41:00 UTC+08:00,2018-06-22 09:45:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 09:21:00 UTC+08:00,2018-06-22 09:50:00 UTC+08:00,正常清除
15.1000102,次要,虚拟机内存占用率超过阈值,VW07-132-98-0-168,虚拟机,2018-06-22 09:10:00 UTC+08:00,2018-06-22 09:22:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 09:04:00 UTC+08:00,2018-06-22 09:06:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 09:03:00 UTC+08:00,2018-06-22 09:04:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 08:43:00 UTC+08:00,2018-06-22 08:48:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 07:56:00 UTC+08:00,2018-06-22 08:10:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 07:12:00 UTC+08:00,2018-06-22 08:27:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 07:04:00 UTC+08:00,2018-06-22 07:09:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 07:01:00 UTC+08:00,2018-06-22 07:17:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 06:52:00 UTC+08:00,2018-06-22 06:53:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 06:45:00 UTC+08:00,2018-06-22 06:47:00 UTC+08:00,正常清除
15.1000101,重要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 06:44:00 UTC+08:00,2018-06-22 06:46:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 06:37:00 UTC+08:00,2018-06-22 06:40:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 06:32:00 UTC+08:00,2018-06-22 06:36:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-22 06:23:00 UTC+08:00,2018-06-22 06:24:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 06:17:00 UTC+08:00,2018-06-22 06:24:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 06:00:00 UTC+08:00,2018-06-22 06:07:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 05:52:00 UTC+08:00,2018-06-22 05:56:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 05:48:00 UTC+08:00,2018-06-22 05:49:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 05:13:00 UTC+08:00,2018-06-22 05:42:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 05:05:00 UTC+08:00,2018-06-22 05:10:00 UTC+08:00,正常清除
15.1000103,重要,虚拟机磁盘占用率超过阈值,VW07-132-98-0-159,虚拟机,2018-06-22 05:01:00 UTC+08:00,2018-06-22 05:02:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 04:33:00 UTC+08:00,2018-06-22 04:59:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 04:17:00 UTC+08:00,2018-06-22 04:28:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 04:03:00 UTC+08:00,2018-06-22 04:09:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-3_192.168.130.131,主机,2018-06-22 04:03:00 UTC+08:00,2018-06-22 04:13:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 03:51:00 UTC+08:00,2018-06-22 03:56:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 03:02:00 UTC+08:00,2018-06-22 03:45:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 02:54:00 UTC+08:00,2018-06-22 02:55:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 02:49:00 UTC+08:00,2018-06-22 02:51:00 UTC+08:00,正常清除
15.1008005,重要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-22 02:37:00 UTC+08:00,2018-06-22 02:40:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 02:34:00 UTC+08:00,2018-06-22 02:36:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 02:29:00 UTC+08:00,2018-06-22 02:31:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 01:55:00 UTC+08:00,2018-06-22 02:07:00 UTC+08:00,正常清除
15.1008005,重要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 01:35:00 UTC+08:00,2018-06-22 01:51:00 UTC+08:00,正常清除
15.1000102,次要,虚拟机内存占用率超过阈值,VW07-132-98-0-59,虚拟机,2018-06-22 01:18:00 UTC+08:00,2018-06-22 02:15:00 UTC+08:00,正常清除
15.1008005,重要,主机管理域CPU占用率超过阈值,D-3-6-1-4_192.168.130.132,主机,2018-06-22 00:16:00 UTC+08:00,2018-06-22 00:24:00 UTC+08:00,正常清除
15.1000102,重要,虚拟机内存占用率超过阈值,VW07-132-98-0-59,虚拟机,2018-06-21 23:44:00 UTC+08:00,2018-06-22 00:25:00 UTC+08:00,正常清除
15.1008005,次要,主机管理域CPU占用率超过阈值,MCNA02,主机,2018-06-21 23:23:00 UTC+08:00,2018-06-22 02:33:00 UTC+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,VW07-132-98-0-54,虚拟机,2018-06-21 23:21:00 UTC+08:00,2018-06-21 23:22:00 UTC+08:00,正常清除
